FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Marc,Albrighton,MID,LEI,5000000,2,41,2.3,4.6E-07,8.2E-06,0,61014,3,24,0,0,0,0,0,8.2,351,-5,0,41,5,0.6,0,3,2,0,5,0,1,0.7,14960,0,519,0,0,1269,188,0,0,221,Southampton,Burnley,Man Utd,Swansea,Liverpool,1.2,1.2,1.9,1.5,1.4,2.1,1.2,1.2,1.9,2.9,1.2,1.3,1.8,1.2,2.4,1.2,2.2
Toby,Alderweireld,DEF,TOT,6300000,6,53,4.1,6.50793650793651E-07,8.41269841269841E-06,0,611166,0,5,0,0,0,0,0,8.4,1189,-2,0,53,2,0.4,0,2.8,0,0,7,0,0,9.1,90091,0,598,0,0,1139,716,0,0,277,Man City,Sunderland,Middlesbrough,Liverpool,Stoke,3.7,3,5.4,4.4,5.8,5.4,4.5,6.1,2.9,4,5.5,6.1,2.7,6,4.5,4.2,4
Trent,Alexander-Arnold,MID,LIV,4300000,2,3,0.0476190476190476,1.10741971207087E-08,6.97674418604651E-07,0,1176,0,1,0,0,0,0,0,0.7,12,-2,0,3,2,0.1,0,0.4,0,0,0,0,0,0,1065,0,0,0,0,91,75,0,0,15,Swansea,Chelsea,Hull City,Tottenham,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,Allen,MID,STK,5300000,2,80,4,7.54716981132075E-07,1.50943396226415E-05,0,653887,6,31,0,0,0,5,0,15.1,21252,3,0,80,-3,0.4,0,2,9,0,5,0,3,12.6,1072150,0,132,0,1,1642,5189,0,0,365,Man Utd,Everton,West Brom,Crystal Palace,Tottenham,4.1,4.5,3.4,4,2.5,4.5,2.9,3.4,3.9,3.4,3.2,4.4,4,3.9,3.2,3.1,3.2
Bamidele,Alli,MID,TOT,8700000,6,121,6,6.89655172413793E-07,1.39080459770115E-05,0,446031,3,10,0,0,0,10,0,13.9,11412,2,-1,121,-2,1.4,0,11.8,12,0,9,0,5,22.5,932221,0,666,0,3,1534,38209,1,0,362,Man City,Sunderland,Middlesbrough,Liverpool,Stoke,4.8,6.4,8.4,3.7,7.8,8.3,5.9,8.3,5.5,6.4,9,8.4,6.4,6.4,4.8,7.8,5.8
Ryan,Allsop,GLK,BOU,4000000,0,0,0,0,0,0,708,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2449,0,0,0,0,0,50,0,0,0,Watford,Crystal Palace,Everton,Man City,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos,Alonso,DEF,CHE,6500000,21,104,6.5,1E-06,1.6E-05,0,120403,2,6,0,0,0,3,0,16,1864,5,0,104,-5,1.2,0,7.8,6,0,11,0,3,9.6,485755,0,0,0,2,1360,48970,0,0,386,Hull City,Liverpool,Arsenal,Burnley,Swansea,9.4,7.8,9.1,6.6,8.9,7.8,9.5,8.1,9,9.3,7.6,7,9.6,7.3,9.2,7.9,9.1
Daniel,Amartey,MID,LEI,4500000,0,44,2.6,5.77777777777778E-07,9.77777777777778E-06,0,19832,3,25,0,0,0,1,0,9.8,919,0,0,44,0,0.4,0,1.8,3,0,4,0,1,0.3,26710,0,23,0,1,1377,98,0,0,207,Southampton,Burnley,Man Utd,Swansea,Liverpool,0,1.4,2.3,1.8,1.7,2.5,1.3,1.3,2.3,3.4,1.4,1.6,2.1,1.5,2.9,1.3,2.6
Jordi,Amat,DEF,SWA,4100000,0,20,1.3,3.17073170731707E-07,4.8780487804878E-06,0,331149,5,34,0,0,0,0,0,4.9,8294,1,0,20,-1,0,0,0,0,0,2,0,0,10.7,389427,0,63,0,0,1350,940,0,0,224,Liverpool,Southampton,Man City,Leicester,Chelsea,0.9,1.2,0.7,0.7,0.6,1,0.8,0.8,0.8,0.9,1.1,0.7,1,0.6,0.8,0.6,0.9
Nordin,Amrabat,MID,WAT,5000000,0,46,2.6,5.2E-07,9.2E-06,0,15199,3,32,0,0,0,0,0,9.2,267,0,0,46,0,0.2,0,1,5,0,2,0,3,0.1,15577,0,74,0,0,1403,11,0,0,185,Bournemouth,Arsenal,Burnley,Man Utd,West Ham,0,1.3,3.2,1.8,2.1,2.4,1.3,1.7,3.4,2.4,1.3,2.3,1.6,1.7,1.9,1.5,2
Keshi,Anderson,FWD,CRY,4500000,0,0,0,0,0,0,2361,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1707,0,0,0,0,0,7,0,0,0,Everton,Bournemouth,Sunderland,Stoke,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Angelino,DEF,MCI,4300000,0,0,0,0,0,0,2547,0,0,0,0,0,0,0,0,31,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,908,0,0,0,0,0,3,0,0,0,Tottenham,West Ham,Swansea,Bournemouth,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor,Anichebe,FWD,SUN,4600000,0,36,3.6,7.82608695652174E-07,7.82608695652174E-06,0,219813,1,12,0,0,0,3,0,7.8,7690,1,0,36,-1,0.2,0,0.8,5,0,2,0,1,2.5,312287,0,0,0,1,690,432,0,0,133,West Brom,Tottenham,Crystal Palace,Southampton,Everton,3.1,4.4,3.9,4.6,2.6,4.6,3,5.3,3,3.3,3.9,4.9,3,4.7,4.1,4.9,2.3
Michail,Antonio,MID,WHU,6800000,15,104,5.2,7.64705882352941E-07,1.52941176470588E-05,0,871606,4,28,0,0,0,8,0,15.3,4998,-2,0,104,2,1,0,6.8,7,0,7,0,5,10.2,1079072,0,452,0,3,1724,36198,0,0,329,Middlesbrough,Man City,Southampton,West Brom,Watford,5.5,5.7,4.6,6.5,5.6,5.4,4.5,7.6,5,3.8,6.4,5.9,6.7,4.9,5.9,5,4.7
Ikechi,Anya,MID,WAT,4500000,0,1,1,2.22222222222222E-07,2.22222222222222E-07,0,5968,0,0,0,0,0,0,0,0.2,10,0,0,1,0,0,0,0,0,0,0,0,0,0.1,364,0,176,0,0,10,2,0,0,3,Bournemouth,Arsenal,Burnley,Man Utd,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvaro,Arbeloa,DEF,WHU,4600000,0,0,0,0,0,0,5338,3,9,0,0,0,0,0,0,45,-4,0,0,4,0,0,0,0,0,0,0,0,0.1,5034,0,0,0,0,258,9,0,0,34,Middlesbrough,Man City,Southampton,West Brom,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott,Arfield,MID,BUR,5200000,0,47,2.5,4.80769230769231E-07,9.03846153846154E-06,0,6994,3,23,0,0,0,1,0,9,144,-3,0,47,3,0.5,0,2.4,3,0,4,0,2,0.1,4235,0,0,0,1,1325,10,0,0,166,Arsenal,Leicester,Watford,Chelsea,Hull City,0,0,0,2,1.2,1.3,1.2,1.6,2.2,2.3,1.3,1.2,2.3,1.2,2.5,1.2,2.3
Marko,Arnautovic,MID,STK,7100000,15,54,3.2,4.50704225352113E-07,7.6056338028169E-06,0,90267,5,21,0,0,0,3,0,7.6,302,-4,0,54,4,0.6,0,4.5,3,0,5,0,2,0.7,40973,0,528,0,1,1412,1567,0,1,190,Man Utd,Everton,West Brom,Crystal Palace,Tottenham,2.9,3.2,2.4,2.8,1.7,3.3,2,2.4,2.8,2.4,2.2,3.2,2.8,2.8,2.2,2.1,2.3
Harry,Arter,MID,BOU,5000000,2,48,2.3,4.6E-07,9.6E-06,0,16161,5,37,0,0,0,0,0,9.6,272,0,0,48,0,0.4,0,2,2,0,6,0,2,0.3,19174,0,188,0,0,1843,190,0,1,316,Watford,Crystal Palace,Everton,Man City,West Brom,2.4,1.8,1.2,1.7,1.2,1.3,1.8,2,1.2,1.2,1.6,1.2,2.2,1.7,1.9,2.8,1.4
Takuma,Asano,FWD,ARS,4900000,0,0,0,0,0,0,4304,0,0,0,0,0,0,0,0,9,-1,0,0,1,0,0,0,0,0,0,0,0,0,552,0,0,0,0,0,8,0,0,0,Burnley,Watford,Chelsea,Hull City,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel,Asoro,MID,SUN,4400000,0,1,0.0158730158730159,3.60750360750361E-09,2.27272727272727E-07,0,562,0,0,0,0,0,0,0,0.2,4,-1,0,1,1,0,0,0,0,0,0,0,0,0,485,0,0,0,0,10,2,0,0,3,West Brom,Tottenham,Crystal Palace,Southampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Austin,FWD,SOU,6400000,0,59,4.5,7.03125E-07,9.21875E-06,0,879265,1,7,0,0,0,6,0,9.2,2214,-1,0,59,1,0,0,0,10,0,6,0,1,2.3,868578,0,32,0,1,866,103,0,0,211,Leicester,Swansea,West Ham,Sunderland,Arsenal,0,0,0,0,0,4.4,5.4,3.7,6.3,6.4,4.5,6.2,3.3,6.7,4.6,4.3,5.8
Daniel,Ayala,DEF,MID,4800000,0,20,0.317460317460317,6.61375661375661E-08,4.16666666666667E-06,0,10438,2,5,0,0,0,1,0,4.2,87,-2,0,20,2,0,0,0,0,0,2,0,0,0.1,5817,0,0,0,0,390,3,0,0,91,West Ham,West Brom,Tottenham,Everton,Crystal Palace,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Andre,Ayew,MID,WHU,7100000,0,24,0.380952380952381,5.36552649228706E-08,3.38028169014085E-06,0,274559,0,9,0,0,0,1,0,3.4,167,-4,0,24,4,0.4,0,2.8,0,0,2,0,0,1,8243,0,524,0,0,501,14,0,0,60,Middlesbrough,Man City,Southampton,West Brom,Watford,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Cesar,Azpilicueta,DEF,CHE,6600000,6,103,4.9,7.42424242424243E-07,1.56060606060606E-05,0,343794,3,15,0,0,0,0,0,15.6,9854,6,0,103,-6,0.5,0,3.5,15,0,12,0,2,20.8,654726,0,470,0,1,1890,4649,0,0,508,Hull City,Liverpool,Arsenal,Burnley,Swansea,6.9,5.9,6.9,4.3,6.2,5.9,6.7,6.1,6.8,6.5,5.7,4.6,7.3,4.8,6.5,5.6,6.2
,Baba Rahman,DEF,CHE,5500000,0,0,0,0,0,0,1211,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,138,0,0,0,10,0,0,0,Hull City,Liverpool,Arsenal,Burnley,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric,Bailly,DEF,MUN,5300000,0,34,2.8,5.28301886792453E-07,6.41509433962264E-06,0,505646,3,11,0,0,0,0,0,6.4,1384,-2,0,34,2,0.1,0,0.4,7,0,3,0,0,5.8,193473,0,0,0,0,918,68,0,0,216,Stoke,Hull City,Leicester,Watford,Man City,0,3.1,1.8,2.9,2.5,3.4,3,2.6,3,2.8,2,2.6,1.9,2.6,3.2,2.2,3
Leighton,Baines,DEF,EVE,5500000,6,78,5.2,9.45454545454545E-07,1.41818181818182E-05,0,431627,2,13,0,0,0,2,0,14.2,3196,0,0,78,0,1.3,1,7.2,13,0,5,0,3,10.1,497402,0,212,0,1,1334,27980,0,0,321,Crystal Palace,Stoke,Bournemouth,Middlesbrough,Sunderland,6.3,6.1,7.8,5.7,7,5,7.6,7.7,5.9,4.6,6.6,7.8,5.9,7,5.9,7.4,6.2
Mario,Balotelli,FWD,LIV,6300000,0,0,0,0,0,0,11526,0,0,0,0,0,0,0,0,32,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,1745,0,0,0,0,0,8,0,0,0,Swansea,Chelsea,Hull City,Tottenham,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick,Bamford,FWD,CHE,4900000,0,6,0.0952380952380952,1.94363459669582E-08,1.22448979591837E-06,0,3093,0,1,0,0,0,0,0,1.2,37,-1,0,6,1,0,0,0.2,0,0,0,0,0,0,3628,0,0,0,0,39,51,0,0,14,Hull City,Liverpool,Arsenal,Burnley,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex,Baptiste,DEF,MID,4000000,0,0,0,0,0,0,3468,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2532,0,0,0,0,0,6,0,0,0,West Ham,West Brom,Tottenham,Everton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil,Bardsley,DEF,STK,4300000,0,20,0.317460317460317,7.3827980804725E-08,4.65116279069767E-06,0,9637,2,9,0,0,0,0,0,4.7,43,-2,0,20,2,0,0,0,0,0,2,0,0,0.1,7003,0,107,0,0,661,18,0,0,105,Man Utd,Everton,West Brom,Crystal Palace,Tottenham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ross,Barkley,MID,EVE,7000000,9,73,3.8,5.42857142857143E-07,1.04285714285714E-05,0,647101,3,18,0,0,0,3,0,10.4,1320,-5,0,73,5,0.7,0,5,7,0,4,0,5,5.9,493045,0,654,0,0,1475,3885,0,0,253,Crystal Palace,Stoke,Bournemouth,Middlesbrough,Sunderland,3,2.9,4.5,3.3,5.6,2,4.3,4.3,1.9,3.1,5.1,5.4,2.4,3.4,3.3,4.9,2.1
Ashley,Barnes,FWD,BUR,4500000,2,34,0.53968253968254,1.19929453262787E-07,7.55555555555556E-06,0,62698,2,9,0,0,0,3,0,7.6,3517,0,0,34,0,1,0,4.4,3,0,2,0,1,2.4,144892,0,0,0,1,619,4047,0,0,113,Arsenal,Leicester,Watford,Chelsea,Hull City,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Antonio,Barragan,DEF,MID,4600000,0,52,2.7,5.8695652173913E-07,1.1304347826087E-05,0,69400,5,20,0,0,0,0,0,11.3,2989,1,0,52,-1,0.1,0,0.5,5,0,5,0,0,1.3,99735,0,0,0,0,1631,49,0,0,327,West Ham,West Brom,Tottenham,Everton,Crystal Palace,3.7,3,2,2.8,2.7,2.7,2.6,2,2.4,2.4,3.2,3.3,2.4,2.8,2.1,3.5,2.7
Modou,Barrow,FWD,SWA,5000000,0,34,1.9,3.8E-07,6.8E-06,0,104390,1,23,0,0,0,0,0,6.8,1736,0,0,34,0,0.1,0,0.3,0,0,4,0,2,1.1,111415,0,120,0,0,1145,66,0,0,136,Liverpool,Southampton,Man City,Leicester,Chelsea,0,1.6,1.5,1.9,1,2,1.9,1.2,1.4,1.5,1.5,1.3,1.4,1.3,1.5,1.4,1.6
Gareth,Barry,MID,EVE,4500000,3,50,2.6,5.77777777777778E-07,1.11111111111111E-05,0,325649,6,21,0,0,0,2,0,11.1,2597,0,0,50,0,0.4,0,2,3,0,5,0,1,4.1,360459,0,418,0,0,1449,1227,0,0,246,Crystal Palace,Stoke,Bournemouth,Middlesbrough,Sunderland,1.6,1.5,2.6,1.8,3.4,1.3,2.4,2.5,1.3,1.7,3,3.3,1.3,1.9,1.8,2.9,1.3
Joey,Barton,MID,BUR,4500000,6,6,0.0952380952380952,2.11640211640212E-08,1.33333333333333E-06,0,639,0,0,0,0,0,1,0,1.3,565,0,0,6,0,1.3,0,6,0,0,0,0,0,0.1,5682,0,0,0,0,18,5378,0,0,26,Arsenal,Leicester,Watford,Chelsea,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borja,Baston,FWD,SWA,6700000,1,26,0.412698412698413,6.15967780146885E-08,3.88059701492537E-06,0,9556,0,10,0,0,0,1,0,3.9,27,-3,0,26,3,0.1,0,0.5,1,0,1,0,2,0,6378,0,0,0,0,496,12,0,0,66,Liverpool,Southampton,Man City,Leicester,Chelsea,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michy,Batshuayi,FWD,CHE,8500000,1,21,1.6,1.88235294117647E-07,2.47058823529412E-06,0,126100,0,0,0,0,0,1,0,2.5,575,-5,0,21,5,0.1,0,0.8,1,0,0,0,1,1,60235,0,0,0,0,101,146,0,0,59,Hull City,Liverpool,Arsenal,Burnley,Swansea,1.7,0.9,1.1,0.8,1.5,1,1.3,0.9,1.4,1.3,0.8,0.9,1.3,0.8,1.1,0.9,1.5
Asmir,Begovic,GLK,CHE,4700000,0,0,0,0,0,0,5804,0,0,0,0,0,0,0,0,29,-3,0,0,3,0,0,0,0,0,0,0,0,0.2,1376,0,150,0,0,0,10,0,0,0,Hull City,Liverpool,Arsenal,Burnley,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valon,Behrami,MID,WAT,4500000,3,32,1.8,4E-07,7.11111111111111E-06,0,15630,6,23,0,0,0,0,0,7.1,83,0,0,32,0,0.3,0,1.3,0,0,4,0,0,0.2,12117,0,127,0,0,1427,50,0,0,170,Bournemouth,Arsenal,Burnley,Man Utd,West Ham,0.9,0.9,1.9,0.9,1.2,1.4,0.9,0.9,2,1.3,0.9,1.3,0.9,0.9,1,0.9,1.1
Hector,Bellerin,DEF,ARS,6500000,0,70,4.1,6.30769230769231E-07,1.07692307692308E-05,0,917060,1,19,0,0,0,0,0,10.8,16195,0,0,70,0,0.5,0,3.2,10,0,6,0,3,15.3,355158,0,541,0,1,1506,324,0,0,324,Burnley,Watford,Chelsea,Hull City,Southampton,5.6,5.1,4.1,5.3,5,5,4.4,4.5,5,5.9,5,4.5,4.8,3.9,3.8,5,5
Yohan,Benalouane,DEF,LEI,4000000,0,0,0,0,0,0,7933,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1407,0,15,0,0,0,8,0,0,0,Southampton,Burnley,Man Utd,Swansea,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nabil,Bentaleb,MID,TOT,4500000,0,0,0,0,0,0,4225,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,29,0,0,0,2,0,0,0,Man City,Sunderland,Middlesbrough,Liverpool,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saido,Berahino,FWD,WBA,6000000,0,6,1.5,2.5E-07,1E-06,0,44197,1,2,0,0,0,0,0,1,83,-5,0,6,5,0,0,0,0,0,2,0,0,0.4,10861,0,226,0,0,243,22,0,0,-3,Sunderland,Middlesbrough,Stoke,West Ham,Bournemouth,0,0,0,0.9,1.3,1.3,0.8,1,0.8,0.8,1.2,1.3,0.9,1.4,0.8,0.8,1.2
Steven,Berghuis,MID,WAT,5000000,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,55,0,0,0,0,0,0,0,Bournemouth,Arsenal,Burnley,Man Utd,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bernardo,DEF,MID,4300000,6,7,0.111111111111111,2.58397932816537E-08,1.62790697674419E-06,0,824,0,2,0,0,0,0,0,1.6,28,-2,0,7,2,0.4,0,1.8,0,0,1,0,0,0,707,0,0,0,0,180,131,0,0,40,West Ham,West Brom,Tottenham,Everton,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ryan,Bertrand,DEF,SOU,5400000,2,54,4.2,7.77777777777778E-07,1E-05,0,60864,2,15,0,0,0,1,0,10,1060,-1,0,54,1,0.4,0,2,3,0,6,0,1,1.2,71805,0,415,0,1,1157,502,0,0,237,Leicester,Swansea,West Ham,Sunderland,Arsenal,4.9,4.3,6.3,3.3,6.1,4,4.3,3.7,6.2,5.7,4.2,5.4,3.8,5.8,4.7,4.2,5.9
Muhamed,Besic,MID,EVE,4300000,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0,7,-2,0,0,2,0,0,0,0,0,0,0,0,0,430,0,75,0,0,0,4,0,0,0,Crystal Palace,Stoke,Bournemouth,Middlesbrough,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daley,Blind,DEF,MUN,5300000,0,62,4.8,9.05660377358491E-07,1.16981132075472E-05,0,369098,2,12,0,0,0,1,0,11.7,6855,-2,0,62,2,0.5,0,2.6,10,0,5,0,2,5.3,421569,0,477,0,1,1080,963,0,0,330,Stoke,Hull City,Leicester,Watford,Man City,6.3,6.5,4.2,6.3,5.6,7,6,5.7,6.4,6.1,4.6,5.8,4.5,5.8,6.3,5.1,6.4
Hiram,Boateng,MID,CRY,4500000,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,0,0,0,0,1,0,0,0,Everton,Bournemouth,Sunderland,Stoke,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bojan,MID,STK,5500000,0,30,0.476190476190476,8.65800865800866E-08,5.45454545454545E-06,0,104787,1,12,0,0,0,3,0,5.5,536,-5,0,30,5,0.1,1,0.3,4,0,0,0,0,0.8,46194,0,360,0,0,475,38,0,0,93,Man Utd,Everton,West Brom,Crystal Palace,Tottenham,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Yannick,Bolasie,MID,EVE,5700000,0,45,0.714285714285714,1.2531328320802E-07,7.89473684210526E-06,0,413099,3,14,0,0,0,1,0,7.9,638,-3,0,45,3,0,0,0,3,0,3,0,4,1.9,292291,0,469,0,0,1048,28,0,0,172,Crystal Palace,Stoke,Bournemouth,Middlesbrough,Sunderland,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4
