FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Phil,Jagielka,DEF,EVE,4800000,0,33,2.2,4.58333333333333E-07,6.875E-06,0,232488,3,18,0,0,0,0,0,6.9,5482,-2,0,33,2,0,0,-0.2,3,0,2,0,1,3.2,260899,0,221,0,0,1260,657,0,1,231,Southampton,Man City,Crystal Palace,Stoke,Bournemouth,2.6,2,1.9,2,2.6,1.5,2,1.4,2.2,2.4,1.9,1.2,1.9,2.4,2.2,1.9,1.5,2.1,2.4
Eldin,Jakupovic,GLK,HUL,3900000,0,23,0.403508771929825,1.03463787674314E-07,5.8974358974359E-06,0,366508,0,7,0,21,0,0,0,5.9,18664,-1,0,23,1,0,0,0,0,0,1,0,0,18.8,523057,0,0,1,1,450,31601,0,0,114,West Brom,Bournemouth,Chelsea,Man Utd,Liverpool,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Daniel,James,MID,SWA,4500000,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,8,0,0,0,Crystal Palace,Arsenal,Liverpool,Southampton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew,James,MID,LEI,4500000,0,1,0.0175438596491228,3.89863547758285E-09,2.22222222222222E-07,0,103,0,0,0,0,0,0,0,0.2,18,0,0,1,0,0,0,0.2,0,0,0,0,0,0,151,0,0,0,0,1,13,0,0,3,Middlesbrough,Chelsea,Southampton,Burnley,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daryl,Janmaat,DEF,WAT,4600000,0,20,0.350877192982456,7.627765064836E-08,4.34782608695652E-06,0,12481,0,12,0,0,0,1,0,4.3,1083,-4,0,20,4,0.2,0,0.7,0,0,0,0,1,0.1,14801,0,0,0,0,573,57,0,0,104,Stoke,Middlesbrough,Bournemouth,Arsenal,Burnley,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Vincent,Janssen,FWD,TOT,7500000,1,34,2.3,3.06666666666667E-07,4.53333333333333E-06,0,107923,0,7,0,0,0,1,0,4.5,303,-5,0,34,5,0,0,0.3,3,0,1,0,2,0.9,58312,0,0,0,0,614,95,0,0,66,Chelsea,West Brom,Man City,Sunderland,Middlesbrough,1.8,2.3,1.7,1.6,2.3,1.5,2.2,2.3,2,2.3,1.3,2.1,2.4,2.3,1.6,2.1,1.6,2.1,2.2
Adnan,Januzaj,MID,SUN,5300000,5,20,1.7,3.20754716981132E-07,3.77358490566038E-06,0,51455,1,20,0,0,0,0,0,3.8,216,-2,0,20,2,0.3,0,1.7,0,0,1,0,1,0.5,32393,0,33,0,0,799,327,0,1,78,Liverpool,Stoke,West Brom,Tottenham,Crystal Palace,0.8,1.2,0.8,1.1,0.8,1.2,0.8,0.9,0.8,1.8,0.9,0.8,1.2,1.1,0.8,1.4,0.8,1.3,0.8
Mile,Jedinak,MID,CRY,4500000,0,2,2,4.44444444444444E-07,4.44444444444444E-07,0,25351,0,1,0,0,0,0,0,0.4,66,0,0,2,0,0,0,0,0,0,0,0,0,0.2,1199,0,118,0,0,90,17,0,0,8,Swansea,West Ham,Everton,Bournemouth,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carl,Jenkinson,DEF,ARS,5000000,0,2,0.0350877192982456,7.01754385964912E-09,4E-07,0,9233,0,1,0,0,0,0,0,0.4,140,0,0,2,0,0,0,0,0,0,0,0,0,0.1,9420,0,178,0,0,82,29,0,0,12,Bournemouth,Swansea,Burnley,Watford,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glen,Johnson,DEF,STK,4700000,0,27,2.5,5.31914893617021E-07,5.74468085106383E-06,0,12738,1,19,0,0,0,0,0,5.7,717,-3,0,27,3,0.5,0,2.3,3,0,3,0,0,0.2,10977,0,324,0,0,934,746,0,0,179,Watford,Sunderland,Man Utd,Everton,West Brom,2.4,1.6,1.8,2.4,2.2,2.5,1.9,2.4,2.1,2.2,1.3,1.5,3,2.7,2,3.4,2.2,3.3,2.5
,Jonathan Benteke,FWD,CRY,4300000,0,1,0.0175438596491228,4.07996736026112E-09,2.32558139534884E-07,0,12187,0,0,0,0,0,0,0,0.2,463,-2,1,1,2,0,0,0,0,0,0,0,0,0.1,13999,0,0,0,0,7,662,-1,0,3,Swansea,West Ham,Everton,Bournemouth,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy,Jones,DEF,SUN,4400000,-1,12,1.1,2.5E-07,2.72727272727273E-06,0,1397,4,21,0,0,0,0,0,2.7,94,-1,0,12,1,0.2,0,0.7,0,0,1,0,0,0,977,0,211,0,0,834,10,0,0,130,Liverpool,Stoke,West Brom,Tottenham,Crystal Palace,0,0.9,0.6,0.8,0.6,0.9,0.6,0.7,0.6,0.9,0.6,0.6,0.6,1.2,0.7,1,0.6,0.7,0.6
David,Jones,MID,BUR,5000000,0,1,1,2E-07,2E-07,0,2928,1,1,0,0,0,0,0,0.2,14,0,0,1,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,86,8,0,0,8,Man City,Southampton,Arsenal,Leicester,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil,Jones,DEF,MUN,4900000,0,26,0.456140350877193,9.30898675259578E-08,5.30612244897959E-06,0,37146,0,6,0,0,0,0,0,5.3,20768,-1,0,26,1,0.7,0,3.3,2,0,2,0,0,3.6,172805,0,64,0,0,720,7835,0,0,159,West Ham,Liverpool,Stoke,Hull City,Leicester,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Joselu,FWD,STK,5300000,0,0,0,0,0,0,6518,0,0,0,0,0,0,0,0,21,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,600,0,246,0,0,0,6,0,0,0,Watford,Sunderland,Man Utd,Everton,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Josh Robson,DEF,SUN,4000000,0,0,0,0,0,0,2760,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4672,0,0,0,0,0,43,0,0,0,Liverpool,Stoke,West Brom,Tottenham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lukas,Jutkiewicz,FWD,BUR,4300000,0,2,0.0350877192982456,8.15993472052224E-09,4.65116279069767E-07,0,23338,0,0,0,0,0,0,0,0.5,478,-2,1,2,2,0,0,0,0,0,0,0,0,0.5,9506,0,0,0,0,13,405,-1,0,5,Man City,Southampton,Arsenal,Leicester,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,Kabasele,DEF,WAT,4800000,1,16,0.280701754385965,5.84795321637427E-08,3.33333333333333E-06,0,2399,0,8,0,0,0,1,0,3.3,51,-2,0,16,2,0.4,0,2,1,0,0,0,0,0.1,980,0,0,0,0,294,22,0,0,57,Stoke,Middlesbrough,Bournemouth,Arsenal,Burnley,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Younes,Kaboul,DEF,WAT,4400000,6,33,2.5,5.68181818181818E-07,7.5E-06,0,27872,1,22,0,0,0,1,0,7.5,1012,-1,0,33,1,0.3,0,1.5,0,0,3,0,0,0.7,25338,0,231,0,0,1059,1598,0,0,192,Stoke,Middlesbrough,Bournemouth,Arsenal,Burnley,2.5,2.5,2,2.9,2.8,1.5,3.5,3,1.8,2.3,2.5,2.6,1.8,2.4,2.2,3.1,1.2,1.8,2.4
Sullay,Kaikai,MID,CRY,4500000,0,0,0,0,0,0,2196,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,9,0,0,0,7,0,0,0,Swansea,West Ham,Everton,Bournemouth,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry,Kane,FWD,TOT,11000000,16,86,6.1,5.54545454545454E-07,7.81818181818182E-06,0,1052946,0,10,0,0,0,10,0,7.8,50838,0,0,86,0,0.6,1,6.5,14,0,6,0,2,13.8,925567,0,1053,0,3,1174,33394,0,0,355,Chelsea,West Brom,Man City,Sunderland,Middlesbrough,7.7,8.9,7.2,6.6,8.8,6.9,8.7,8.8,7.4,8.8,6.2,7.2,9.1,8.9,6.5,8.5,6.8,8.4,7
N'Golo,Kante,MID,CHE,4700000,2,46,2.6,5.53191489361702E-07,9.78723404255319E-06,0,682687,5,13,0,0,0,1,0,9.8,7858,-3,0,46,3,0.4,0,1.7,0,0,10,0,0,12.1,205153,0,501,0,0,1620,8538,0,0,288,Tottenham,Leicester,Hull City,Liverpool,Arsenal,1.3,1.9,2.3,1.3,1.5,1.7,2.2,1.4,2.6,1.8,2,1.7,1.6,1.9,2.2,1.7,2.4,1.8,3.3
Bartosz,Kapustka,MID,LEI,5100000,0,0,0,0,0,0,5580,0,0,0,0,0,0,0,0,20,-4,0,0,4,0,0,0,0,0,0,0,0,0.1,438,0,0,0,0,0,7,0,0,0,Middlesbrough,Chelsea,Southampton,Burnley,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loris,Karius,GLK,LIV,4600000,0,32,3.2,6.95652173913044E-07,6.95652173913044E-06,0,65440,0,12,0,20,0,0,0,7,4385,-4,0,32,4,0.1,0,0.3,0,0,3,0,0,0.9,76728,0,0,0,0,900,211,0,0,153,Sunderland,Man Utd,Swansea,Chelsea,Hull City,2.2,2.2,3.5,3.3,3.2,3.9,1.8,4.6,4.1,2.8,3.7,4.3,3.5,2.9,3.8,2.7,4.3,3.7,3.6
Michael,Keane,DEF,BUR,4900000,2,51,2.7,5.51020408163265E-07,1.04081632653061E-05,0,66199,1,29,0,0,0,1,0,10.4,4833,-1,0,51,1,0.4,0,2.2,2,0,4,0,0,2.4,107914,0,0,0,1,1710,1664,0,0,322,Man City,Southampton,Arsenal,Leicester,Watford,1.6,3.7,2.6,2.9,1.5,2.9,1.9,1.6,2,1.4,3.4,3.6,1.6,1.5,2.5,2,3.2,1.7,4.1
Will,Keane,FWD,HUL,4500000,0,8,0.140350877192982,3.11890838206628E-08,1.77777777777778E-06,0,34361,0,10,0,0,0,0,0,1.8,716,0,0,8,0,0,0,0,0,0,1,0,0,0.3,39477,0,0,0,0,280,46,0,0,9,West Brom,Bournemouth,Chelsea,Man Utd,Liverpool,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Martin,Kelly,DEF,CRY,4400000,1,22,1.2,2.72727272727273E-07,5E-06,0,29511,2,28,0,0,0,0,0,5,1395,-1,0,22,1,0.3,0,1.2,0,0,0,0,1,0.7,39778,0,96,0,0,1208,3226,0,0,170,Swansea,West Ham,Everton,Bournemouth,Sunderland,0.7,1,0.7,0.7,0.7,0.9,0.7,0.7,0.8,0.7,0.6,0.8,1.1,0.6,0.8,0.8,0.6,0.8,0.6
,Kenedy,MID,WAT,5100000,0,1,0.0175438596491228,3.43997248022016E-09,1.96078431372549E-07,0,2096,0,0,0,0,0,0,0,0.2,12,-4,0,1,4,0,0,0,0,0,0,0,0,0,1158,0,86,0,0,16,9,0,0,2,Stoke,Middlesbrough,Bournemouth,Arsenal,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonjoe,Kenny,DEF,EVE,4000000,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,554,0,0,0,0,0,188,0,0,0,Southampton,Man City,Crystal Palace,Stoke,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wahbi,Khazri,MID,SUN,6000000,0,13,0.228070175438597,3.80116959064327E-08,2.16666666666667E-06,0,11055,2,12,0,0,0,0,0,2.2,55,-5,0,13,5,0.1,0,0.5,0,0,1,0,0,0.1,864,0,172,0,0,444,19,0,0,39,Liverpool,Stoke,West Brom,Tottenham,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Ki Sung-yueng,MID,SWA,5000000,1,18,0.315789473684211,6.31578947368421E-08,3.6E-06,0,4388,1,17,0,0,0,0,0,3.6,22,-5,0,18,5,0,0,0.2,0,0,1,0,0,0,1080,0,241,0,0,636,31,0,0,115,Crystal Palace,Arsenal,Liverpool,Southampton,Man City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michael,Kightly,MID,BUR,4200000,0,6,0.105263157894737,2.5062656641604E-08,1.42857142857143E-06,0,18536,0,1,0,0,0,0,0,1.4,1833,-3,0,6,3,0.1,0,0.3,0,0,0,0,0,0.7,25059,0,0,0,0,104,2186,0,0,20,Man City,Southampton,Arsenal,Leicester,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Andy,King,MID,LEI,4800000,0,28,0.491228070175439,1.0233918128655E-07,5.83333333333333E-06,0,14170,2,17,0,0,0,1,0,5.8,737,-2,0,28,2,0.5,0,2.3,1,0,0,0,0,0.3,8154,0,174,0,0,958,244,0,0,133,Middlesbrough,Chelsea,Southampton,Burnley,Man Utd,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Joshua,King,MID,BOU,5300000,6,54,3,5.66037735849057E-07,1.0188679245283E-05,0,55912,1,24,0,0,0,3,0,10.2,1420,-2,0,54,2,0.5,0,2.5,2,0,4,0,1,0.7,51568,0,321,0,0,1224,1767,0,0,152,Arsenal,Hull City,Watford,Crystal Palace,Everton,2.2,2,3.5,2.7,1.9,2.4,1.9,2,2.8,3.1,1.8,1.5,2.3,1.5,3.2,2.6,2.9,4,2.1
Stephen,Kingsley,DEF,SWA,4000000,0,19,0.333333333333333,8.33333333333333E-08,4.75E-06,0,354256,0,13,0,0,0,0,0,4.8,20979,0,0,19,0,0,0,0,2,0,2,0,0,10.3,539221,0,75,0,1,675,6777,0,0,124,Crystal Palace,Arsenal,Liverpool,Southampton,Man City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jan,Kirchhoff,MID,SUN,4300000,0,12,0.210526315789474,4.89596083231334E-08,2.7906976744186E-06,0,3167,1,11,0,0,0,0,0,2.8,73,-2,0,12,2,0.2,0,1,0,0,0,0,1,0,1432,0,118,0,0,433,14,0,0,61,Liverpool,Stoke,West Brom,Tottenham,Crystal Palace,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ragnar,Klavan,DEF,LIV,4600000,5,28,3.1,6.73913043478261E-07,6.08695652173913E-06,0,41669,1,7,0,0,0,0,0,6.1,2002,-4,0,28,4,0.8,0,3.8,3,0,3,0,0,1,36371,0,0,0,0,676,19225,0,0,166,Sunderland,Man Utd,Swansea,Chelsea,Hull City,2.1,2,3.3,3.2,3,3.7,1.7,4.4,3.9,2.7,3.5,4.2,3.4,2.8,3.6,2.5,4.1,3.6,3.5
Aleksandar,Kolarov,DEF,MCI,5800000,2,52,2.9,5E-07,8.96551724137931E-06,0,140523,4,19,0,0,0,1,0,9,4391,-2,0,52,2,0.8,0,4.7,2,0,4,0,1,3.9,78125,1,429,0,1,1545,12837,0,0,304,Burnley,Everton,Tottenham,West Ham,Swansea,3.4,2.4,3.3,3.4,2.9,2.7,2.3,2,3.5,3.7,3.7,2.4,3.4,3.1,3.1,2.6,3.1,2.7,2.5
Vincent,Kompany,DEF,MCI,5900000,0,3,0.0526315789473684,8.92060660124889E-09,5.08474576271186E-07,0,18193,1,1,0,0,0,0,0,0.5,136,-1,0,3,1,0,0,0,0,0,0,0,0,0.4,5298,0,173,0,0,114,81,0,0,13,Burnley,Everton,Tottenham,West Ham,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arouna,Kone,FWD,EVE,5100000,0,3,0.0526315789473684,1.03199174406605E-08,5.88235294117647E-07,0,66269,0,0,0,0,0,0,0,0.6,375,-4,0,3,4,0,0,0,0,0,0,0,0,0.8,13815,0,289,0,0,46,155,0,0,9,Southampton,Man City,Crystal Palace,Stoke,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamine,Kone,DEF,SUN,4400000,1,31,1.8,4.09090909090909E-07,7.04545454545455E-06,0,72905,2,27,0,0,0,0,0,7,3253,-1,0,31,1,0.5,0,2,0,0,2,0,0,1.1,21576,0,176,0,0,1463,173,0,0,238,Liverpool,Stoke,West Brom,Tottenham,Crystal Palace,0,1.9,1.1,1.8,1.2,2,0.9,1.6,1,1.8,0.9,0.9,1.2,2.3,1.6,2,1.2,1.5,0.9
Dimitrios,Konstantopoulos,GLK,MID,4200000,0,0,0,0,0,0,5761,0,0,0,0,0,0,0,0,95,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,643,0,0,0,0,0,65,0,0,0,Leicester,Watford,West Ham,West Brom,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurent,Koscielny,DEF,ARS,6300000,6,77,4.3,6.82539682539682E-07,1.22222222222222E-05,0,360641,3,15,0,0,0,2,0,12.2,17541,3,0,77,-3,0.5,0,3.2,11,0,6,0,0,18.5,790161,0,493,0,3,1620,18985,0,0,431,Bournemouth,Swansea,Burnley,Watford,Chelsea,4.8,4.6,5.8,5.3,4.3,5.8,5.3,5.3,4.9,4.8,5.2,6.3,5.3,4.6,5.2,4.3,4.3,5.5,5.4
Cheikhou,Kouyate,MID,WHU,5100000,2,41,2.4,4.70588235294118E-07,8.03921568627451E-06,0,85340,1,26,0,0,0,0,0,8,861,-4,0,41,4,0.4,0,2.2,0,0,5,0,1,0.9,21046,0,498,0,0,1517,332,0,0,231,Man Utd,Crystal Palace,Middlesbrough,Man City,Southampton,2,1.8,1.6,1.6,1.3,2,1.7,1.5,1.2,2.8,1.5,1.2,2.1,2,2.2,1.4,1.8,1.4,1.3
Dusan,Kuciak,GLK,HUL,4000000,0,0,0,0,0,0,4218,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0.3,7139,0,0,0,0,0,160,0,0,0,West Brom,Bournemouth,Chelsea,Man Utd,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olayinka Fredrick Oladotun,Ladapo,FWD,CRY,4500000,0,0,0,0,0,0,988,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,819,0,0,0,0,0,8,0,0,0,Swansea,West Ham,Everton,Bournemouth,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Lafferty,DEF,BUR,4000000,0,0,0,0,0,0,21294,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0.4,3015,0,0,0,0,0,16,0,0,0,Man City,Southampton,Arsenal,Leicester,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam,Lallana,MID,LIV,7600000,6,104,1.82456140350877,2.40073868882733E-07,1.36842105263158E-05,0,644701,1,18,0,0,0,7,0,13.7,12227,6,-1,104,-6,1,0,7.5,13,0,5,0,7,26.7,1479008,0,416,0,3,1198,221210,1,0,379,Sunderland,Man Utd,Swansea,Chelsea,Hull City,1.3,0.9,1.4,0.9,0.9,1.1,1,0.9,1.9,0.9,1.4,1.5,0.9,0.9,1.2,1.1,1.3,0.9,1.4
Rickie,Lambert,FWD,WBA,5400000,0,1,1,1.85185185185185E-07,1.85185185185185E-07,0,7972,0,0,0,0,0,0,0,0.2,25,-1,0,1,1,0,0,0,0,0,0,0,0,0.1,1268,0,72,0,0,13,25,0,0,3,Hull City,Tottenham,Sunderland,Middlesbrough,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik,Lamela,MID,TOT,6600000,0,28,3.1,4.6969696969697E-07,4.24242424242424E-06,0,524809,1,2,0,0,0,1,0,4.2,1038,-4,0,28,4,0,1,0,4,0,4,0,1,3.7,302154,0,519,0,0,595,93,0,0,93,Chelsea,West Brom,Man City,Sunderland,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel,Lanzini,MID,WHU,6400000,0,49,0.859649122807018,1.34320175438596E-07,7.65625E-06,0,28071,2,23,0,0,0,3,0,7.7,1412,-1,0,49,1,0.2,0,1.3,5,0,4,0,0,0.2,31062,0,381,0,1,1059,130,0,0,231,Man Utd,Crystal Palace,Middlesbrough,Man City,Southampton,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Sebastian,Larsson,MID,SUN,4700000,2,7,0.12280701754386,2.61291526689063E-08,1.48936170212766E-06,0,967,1,9,0,0,0,0,0,1.5,45,-3,0,7,3,0.3,0,1.2,0,0,0,0,0,0,524,0,58,0,0,308,65,0,0,34,Liverpool,Stoke,West Brom,Tottenham,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Grant,Leadbitter,MID,MID,4700000,8,11,0.192982456140351,4.10600970511385E-08,2.34042553191489E-06,0,604,0,2,0,0,0,1,0,2.3,112,-3,0,11,3,0.3,0,1.5,0,0,1,0,0,0,940,0,0,0,0,142,730,0,0,37,Leicester,Watford,West Ham,West Brom,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Joe,Ledley,MID,CRY,4400000,0,33,0.578947368421053,1.31578947368421E-07,7.5E-06,0,32171,0,18,0,0,0,1,0,7.3,1343,-1,1,33,1,0.4,0,1.8,1,0,2,0,1,0.5,23698,0,121,0,0,892,102,-1,0,162,Swansea,West Ham,Everton,Bournemouth,Sunderland,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Lee Chung-yong,MID,CRY,4300000,1,21,0.368421052631579,8.56793145654835E-08,4.88372093023256E-06,0,14792,0,7,0,0,0,0,0,4.9,298,-2,0,21,2,0.1,0,0.5,0,0,2,0,1,0.2,13679,0,56,0,0,386,312,0,0,90,Swansea,West Ham,Everton,Bournemouth,Sunderland,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jonathan,Leko,MID,WBA,4200000,0,9,0.157894736842105,3.7593984962406E-08,2.14285714285714E-06,0,30585,0,2,0,0,0,0,0,2.1,2743,-3,0,9,3,0,0,0.2,0,0,0,0,1,0.6,37712,0,28,0,0,95,4172,0,0,33,Hull City,Tottenham,Sunderland,Middlesbrough,Stoke,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Brian,Lenihan,DEF,HUL,3900000,0,0,0,0,0,0,59206,0,0,0,0,0,0,0,0,2932,-1,0,0,1,0,0,0,0,0,0,0,0,1.6,63068,0,0,0,0,0,2716,0,0,0,West Brom,Bournemouth,Chelsea,Man Utd,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron,Lennon,MID,EVE,5500000,0,18,0.315789473684211,5.74162679425837E-08,3.27272727272727E-06,0,12635,0,5,0,0,0,0,0,3.3,558,-5,0,18,5,0.3,0,1.8,0,0,1,0,1,0.2,3138,0,278,0,0,431,103,0,0,89,Southampton,Man City,Crystal Palace,Stoke,Bournemouth,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jeremain,Lens,MID,SUN,5900000,0,2,1,1.69491525423729E-07,3.38983050847458E-07,0,2469,0,1,0,0,0,0,0,0.3,7,-1,0,2,1,0,0,0,0,0,0,0,0,0,189,0,180,0,0,69,2,0,0,12,Liverpool,Stoke,West Brom,Tottenham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesse,Lingard,MID,MUN,5600000,0,26,0.456140350877193,8.1453634085213E-08,4.64285714285714E-06,0,43445,1,7,0,0,0,0,0,4.6,2109,-4,0,26,4,0.3,0,1.5,0,0,4,0,2,0.4,17598,0,318,0,0,576,356,0,0,108,West Ham,Liverpool,Stoke,Hull City,Leicester,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jake,Livermore,MID,HUL,4800000,2,43,2.3,4.79166666666667E-07,8.95833333333333E-06,0,6023,3,38,0,0,0,1,0,9,389,-2,0,43,2,0.6,0,3,2,0,2,0,1,0.1,5219,0,0,0,0,1574,657,0,1,259,West Brom,Bournemouth,Chelsea,Man Utd,Liverpool,1.4,2,1.2,1.5,1.2,1.2,2.6,1.5,1.9,1.4,1.7,2,1.2,1.4,2.2,1.3,2.8,1.5,1.6
Fernando,Llorente,FWD,SWA,6300000,1,63,3.9,6.19047619047619E-07,1E-05,0,287135,0,33,0,0,0,6,0,9.8,83490,-2,0,63,2,0.6,0,4,7,0,2,0,2,4.1,335378,0,0,0,2,1113,2221,0,0,222,Crystal Palace,Arsenal,Liverpool,Southampton,Man City,0,4.3,4,4.5,4.3,5.5,3.3,5.7,4.9,3.3,4.6,4.7,4.2,4,4.5,3.8,4.6,4.1,4.6
Hugo,Lloris,GLK,TOT,5500000,2,64,3.8,6.90909090909091E-07,1.16363636363636E-05,0,247051,0,13,0,35,0,0,0,11.6,13966,0,0,64,0,0.7,0,3.8,2,0,6,0,0,7.2,201057,0,419,0,0,1474,4062,0,0,301,Chelsea,West Brom,Man City,Sunderland,Middlesbrough,4.4,4.9,3.5,2.8,4.7,4.1,5.4,4.8,4.1,5.5,2.5,3.4,4.8,5.5,2.3,5.5,4.2,3.8,3.9
